Date,Time,Temperature,Humidity,Moist,Powdery,Downy,B. Leaf Spot
3/20/2023,13:00:46,26.9,22,5,no,no,no
3/20/2023,13:00:50,26.9,22,5,no,no,no
3/20/2023,13:00:53,26.9,22,6,no,no,no
3/20/2023,13:00:57,26.9,22,5,no,no,no
3/20/2023,13:01:00,26.9,22,5,no,no,no
3/20/2023,13:01:03,26.9,22,7,no,no,no
3/20/2023,13:01:06,26.9,22,6,no,no,no
3/20/2023,13:01:09,26.9,22,5,no,no,no
3/20/2023,13:01:13,26.9,22,4,no,no,no
3/20/2023,13:01:16,26.9,22,5,no,no,no
3/20/2023,13:01:19,26.9,22,5,no,no,no
3/20/2023,13:01:23,26.9,23,4,no,no,no
3/20/2023,13:01:25,26.9,22,6,no,no,no
3/20/2023,13:01:29,26.9,22,5,no,no,no
3/20/2023,13:01:32,26.9,22,5,no,no,no
3/20/2023,13:01:36,26.9,22,5,no,no,no
3/20/2023,13:01:40,26.9,23,5,no,no,no
3/20/2023,13:01:44,26.9,23,6,no,no,no
3/20/2023,13:01:47,26.9,23,4,no,no,no
3/20/2023,13:01:50,26.9,23,5,no,no,no
3/20/2023,13:01:53,27,23,22,no,no,no
3/20/2023,13:01:57,27,23,8,no,no,no
3/20/2023,13:02:00,27,23,6,no,no,no
3/20/2023,13:02:03,27,23,5,no,no,no
3/20/2023,13:02:07,27,23,6,no,no,no
3/20/2023,13:02:11,27,23,4,no,no,no
3/20/2023,13:02:14,27,23,5,no,no,no
3/20/2023,13:02:18,27,23,6,no,no,no
3/20/2023,13:02:22,27,23,5,no,no,no
3/20/2023,13:02:25,27,23,6,no,no,no
3/20/2023,13:02:29,27,23,5,no,no,no
3/20/2023,13:02:32,27,23,5,no,no,no
3/20/2023,13:02:35,27,23,4,no,no,no
3/20/2023,13:02:39,27,23,6,no,no,no
3/20/2023,13:02:42,27,23,6,no,no,no
3/20/2023,13:02:46,27.1,23,5,no,no,no
3/20/2023,13:02:50,27,23,6,no,no,no
3/20/2023,13:02:53,27,23,7,no,no,no
3/20/2023,13:02:56,27.1,23,5,no,no,no
3/20/2023,13:02:59,27.1,23,5,no,no,no
3/20/2023,13:03:02,27.1,23,3,no,no,no
3/20/2023,13:03:05,27.1,23,4,no,no,no
3/20/2023,13:03:08,27.1,23,4,no,no,no
3/20/2023,13:03:12,27.1,23,4,no,no,no
3/20/2023,13:03:15,27.1,23,5,no,no,no
3/20/2023,13:03:18,27.1,23,4,no,no,no
3/20/2023,13:03:21,27.1,23,5,no,no,no
3/20/2023,13:03:25,27.1,23,5,no,no,no
3/20/2023,13:03:28,27.1,23,3,no,no,no
3/20/2023,13:03:32,27.1,23,4,no,no,no
3/20/2023,13:03:35,27.1,23,7,no,no,no
3/20/2023,13:03:39,27.1,22,5,no,no,no
3/20/2023,13:03:43,27.1,22,5,no,no,no
3/20/2023,13:03:46,27.1,22,3,no,no,no
3/20/2023,13:03:49,27.1,22,4,no,no,no
3/20/2023,13:03:52,27.1,22,5,no,no,no
3/20/2023,13:03:55,27.1,22,5,no,no,no
3/20/2023,13:03:59,27.1,22,7,no,no,no
3/20/2023,13:04:03,27.1,22,6,no,no,no
3/20/2023,13:04:06,27.1,22,6,no,no,no
3/20/2023,13:04:09,27.1,22,4,no,no,no
3/20/2023,13:04:13,27.1,22,5,no,no,no
3/20/2023,13:04:16,27.1,22,5,no,no,no
3/20/2023,1:04:53,27.1,22,5,no,no,no
3/20/2023,1:04:57,27.1,22,5,no,no,no
3/20/2023,1:05:00,27.1,22,5,no,no,no
3/20/2023,1:05:03,27.1,22,4,no,no,no
3/20/2023,1:05:06,27.1,22,5,no,no,no
3/20/2023,1:05:10,27.1,22,4,no,no,no
3/20/2023,1:05:13,27.1,22,5,no,no,no
3/20/2023,1:05:16,27.1,22,6,no,no,no
3/20/2023,1:05:19,27.1,22,7,no,no,no
3/20/2023,1:05:22,27.1,22,5,no,no,no
3/20/2023,1:05:25,27.1,22,5,no,no,no
3/20/2023,1:05:28,27.1,22,4,no,no,no
3/20/2023,1:05:31,27.1,22,5,no,no,no
3/20/2023,1:05:34,27.1,22,4,no,no,no
3/20/2023,1:05:37,27.1,22,5,no,no,no
3/20/2023,1:05:41,27.1,22,4,no,no,no
3/20/2023,1:05:45,27.1,22,6,no,no,no
3/20/2023,1:05:48,27.1,22,4,no,no,no
3/20/2023,1:05:51,27.1,22,3,no,no,no
3/20/2023,1:05:55,27.1,22,4,no,no,no
3/20/2023,1:05:58,27.1,22,6,no,no,no
3/20/2023,1:06:01,27.1,22,5,no,no,no
3/20/2023,1:06:05,27.1,22,6,no,no,no
3/20/2023,1:06:08,27.1,22,5,no,no,no
3/20/2023,1:06:11,27.1,22,6,no,no,no
3/20/2023,1:06:15,27.1,22,5,no,no,no
3/20/2023,1:06:18,27.1,22,5,no,no,no
3/20/2023,1:06:21,27.2,22,6,no,no,no
3/20/2023,1:06:24,27.1,22,6,no,no,no
3/20/2023,1:06:27,27.1,22,5,no,no,no
3/20/2023,1:06:30,27.2,22,5,no,no,no
3/20/2023,1:06:33,27.2,22,6,no,no,no
3/20/2023,1:06:37,27.2,22,4,no,no,no
3/20/2023,1:06:40,27.2,22,6,no,no,no
3/20/2023,1:06:43,27.2,22,7,no,no,no
3/20/2023,1:06:46,27.2,22,5,no,no,no
3/20/2023,1:06:49,27.2,22,6,no,no,no
3/20/2023,1:06:52,27.2,22,5,no,no,no
3/20/2023,1:06:55,27.2,22,7,no,no,no
3/20/2023,1:06:58,27.2,22,5,no,no,no
3/20/2023,1:07:02,27.2,22,4,no,no,no
3/20/2023,1:07:05,27.2,22,5,no,no,no
3/20/2023,1:07:08,27.2,22,5,no,no,no
3/20/2023,1:07:11,27.2,22,5,no,no,no
3/20/2023,1:07:15,27.2,22,5,no,no,no
3/20/2023,1:07:18,27.2,22,6,no,no,no
3/20/2023,1:07:21,27.2,22,4,no,no,no
3/20/2023,1:07:25,27.2,22,4,no,no,no
3/20/2023,1:07:28,27.2,22,4,no,no,no
3/20/2023,1:07:31,27.2,22,4,no,no,no
3/20/2023,1:07:34,27.2,22,4,no,no,no
3/20/2023,1:07:38,27.1,22,5,no,no,no
3/20/2023,1:07:42,27.2,22,5,no,no,no
3/20/2023,1:07:45,27.2,22,4,no,no,no
3/20/2023,1:07:49,27.2,22,4,no,no,no
3/20/2023,1:07:53,27.2,22,5,no,no,no
3/20/2023,1:07:56,27.2,22,5,no,no,no
3/20/2023,1:08:00,27.2,22,4,no,no,no
3/20/2023,1:08:04,27.2,22,5,no,no,no
3/20/2023,1:08:07,27.2,22,4,no,no,no
3/20/2023,1:08:11,27.2,22,4,no,no,no
3/20/2023,1:08:14,27.2,22,5,no,no,no
